title,price,image
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,500GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",32489 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1065_6239.jpg
"Lenovo V15 i3-10110U 2.1-4.1GHz,4GB,SSD 120GB,15.6""FHD,RUS,DOS HDMI, IRON GRAY",32489 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4591_4454.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 500GB, 15.6""FHD RUS, HDMI, BLACK",32585 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1242_8686.jpg
"Ноутбук Lenovo IdeaPad 1 14IGL05 Intel® Pentium Silver ® N5030, 4GB, 1000GB SDD m.2 NVMe, Intel HD Graphics, 14"" HD TN, WiFi, BT, Cam, Win11s, Eng-Rus, серебристый [81VU00D6US]",32585 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1798_8054.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 120GB M.2 SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",32681 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4145_4984.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 500GB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",32681 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/10)  s145-15iwl platinum grey_1099.jpg
"Lenovo V15 i3-10110U 2.1-4.1GHz,4GB,1TB,15.6""FHD,RUS,DOS HDMI, IRON GRAY",32777 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1345_5265.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",32873 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_4862.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 120GB, 15.6""FHD RUS, HDMI, BLACK",32969 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3179_2607.jpg
"Lenovo V15 i3-10110U 2.1-4.1GHz,4GB,SSD 240GB,15.6""FHD,RUS,DOS HDMI, IRON GRAY",33065 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4028_1999.jpg
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 1TB + 512GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",33161 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8290_1555.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 1TB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",33161 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/10)  s145-15iwl platinum grey_8220.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY",33161 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5251_3223.jpg
"Lenovo IdeaPad L3 A41TUN ATHLON 300U 2.4-3.3GHz,4GB,500GB, 15.6""FHD RUS BLACK",33258 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1)  ideapad l3 business black_8487.png
"Lenovo IdeaPad L3 A41TUN ATHLON 300U 2.4-3.3GHz,4GB,SSD 120GB, 15.6""FHD RUS BLACK",33258 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1)  ideapad l3 business black_8694.png
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 1TB, 15.6""FHD RUS, HDMI, ABYSS BLUE",33258 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8270.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 1TB, 15.6""FHD RUS, HDMI, BLACK",33258 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_6025_7227.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz,4GB, 1TB, 15.6""FHD RUS, HDMI, PLATINUM GRAY",33258 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7792_6563.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",33450 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_6153.jpg
"Lenovo IdeaPad L3 A41TUN ATHLON 300U 2.4-3.3GHz,4GB,1TB, 15.6""FHD RUS BLACK",33546 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1)  ideapad l3 business black_7793.png
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 240GB, 15.6""FHD RUS, HDMI, BLACK",33546 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7870.jpg
"Lenovo Ideapad S145-15AST Black A6-9225 (up to 3.00Ghz), 4GB DDR4, 120GB M.2 SSD, AMD Radeon R7 M445 2GB, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",33642 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5269_6061.jpg
"Lenovo Ideapad S145-15AST Black A6-9225 (up to 3.00Ghz), 4GB DDR4, 1TB, AMD Radeon R7 M445 2GB, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",33642 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1) s 145_3016.jpg
